,Norma,No_Articulo,Contenido_Articulo
0,Decreto_2170_de_2002,Artículo 1.,"Artículo 1. Publicidad de proyectos de pliegos de condiciones y términos de referencia. Derogado por el art. 7, Decreto Nacional 2434 de
2006. Las entidades publicarán los proyectos de pliegos de condiciones o términos de referencia de los procesos de licitación o concurso
público, con el propósito de suministrar al público en general la información que le permita formular observaciones al contenido de los
documentos antes mencionados.
Los proyectos de pliegos de condiciones o de términos de referencia, en los casos de licitación o concurso público, se publicarán en la
página web de la entidad cuando menos con diez (10) días calendario de antelación a la fecha del acto que ordena la apertura del proceso
de selección correspondiente. En el evento en que el proceso de selección sea de contratación directa, este término será de cinco (5) días
calendario.
Las observaciones a los proyectos de pliegos de condiciones o términos de referencia podrán ser presentadas dentro del término previsto
en el inciso anterior.
La publicación de los proyectos de pliegos de condiciones o términos de referencia no genera obligación para la entidad de dar apertura al
proceso de selección.
En aquellos casos en que la entidad estatal no cuente con la infraestructura tecnológica y de conectividad que asegure la inalterabilidad del
documento para surtir la publicación en su página web, deberá publicar un aviso en el cual indique el lugar de la entidad donde puede ser
consultado en forma gratuita el proyecto de pliego de condiciones o de términos de referencia. Dicho aviso deberá publicarse en un diario
de amplia circulación nacional, departamental o municipal, según el caso, o comunicarse por algún mecanismo determinado en forma
general por la autoridad administrativa de modo que permita a la ciudadanía conocer su contenido.
Parágrafo 1o. Lo previsto en este artículo se aplicará a los casos de contratación directa a que se refiere el literal a) del numeral 1o del
artículo 24 de la Ley 80 de 1993 con excepción de los procesos cuyo valor sea igual o inferior al diez por ciento (10%) de la menor cuantía.
Parágrafo 2o. Se exceptúan de la aplicación de este artículo los procesos que tengan carácter reservado de conformidad con la ley.
"
1,Decreto_2170_de_2002,Artículo 11.,"Artículo 11. Menor Cuantía. Para la celebración de los contratos a que se refiere el literal a) del numeral 1o del artículo 24 de la Ley 80 de
1993 se tendrán en cuenta los siguientes criterios:
1. Los proyectos de pliegos de condiciones o términos de referencia y los definitivos se publicarán en la forma prevista en los artículos 1o y
2o del presente decreto.
2. La convocatoria será pública.
3. En la fecha señalada en los pliegos de condiciones o términos de referencia, los oferentes interesados en participar en el proceso de
selección manifestarán su interés haciendo uso del medio que para el efecto indique la entidad, con el fin de que se conforme una lista de
posibles oferentes.
Cuando el número de posibles oferentes sea superior a diez (10), la entidad en audiencia pública podrá realizar un sorteo para escoger
entre ellos un número no inferior a éste, que podrá presentar oferta en el proceso de selección.
De todo lo anterior la entidad deberá dejar constancia escrita en acta que será publicada en su página web. En aquellos casos en que la
entidad no cuente con la infraestructura tecnológica y de conectividad, el acta será comunicada a todas y cada una de las personas que
participaron de la respectiva audiencia.
Cuando el número de posibles oferentes sea inferior a diez (10), la entidad deberá adelantar el proceso de selección con todos ellos.
4. Las entidades podrán hacer uso del sistema de conformación dinámica de la oferta y de su adjudicación, de acuerdo con las reglas
señaladas en el artículo 12 del presente decreto. Ver el Decreto Nacional 959 de 2006
5. En los casos en que la entidad no acuda al mecanismo previsto en el numeral anterior, la adjudicación se hará en forma motivada al
oferente que haya presentado la oferta que mejor satisfaga las necesidades de la entidad, de conformidad con los requisitos exigidos y los
factores de escogencia señalados en los pliegos de condiciones o términos de referencia, siempre que la misma sea consistente con los
precios del mercado.
La entidad deberá comunicar esta decisión a todos los oferentes que participaron en el proceso de selección.
Parágrafo. Cuando el valor del contrato por celebrar sea igual o inferior al 10% de la menor cuantía a que se refiere el literal a) del numeral
1o del artículo 24 de la Ley 80 de 1993, las entidades podrán celebrarlo tomando como única consideración los precios del mercado, sin que
se requiera obtener previamente varias ofertas.
"
49,Decreto_2474_de_2008,Artículo 18.,"Artículo 18. Definición de subasta inversa para la adquisición de bienes y servicios de características técnicas uniformes y de común
utilización. Una subasta inversa es una puja dinámica efectuada presencial o electrónicamente, mediante la reducción sucesiva de precios
durante un tiempo determinado, de conformidad con las reglas previstas en el presente decreto y en los respectivos pliegos de condiciones.
"
208,Decreto_734_de_2012,Artículo 3.2.1.1.7.,"Artículo 3.2.1.1.7. Márgenes mínimos de mejora de ofertas. Los pliegos de condiciones determinarán márgenes mínimos de mejora de
ofertas por debajo de los cuales los lances no serán aceptables.
En la subasta presencial sólo serán válidos los lances que, observando el margen mínimo mejoren el precio de arranque si se trata del
primer lance, o el menor lance de la ronda anterior en lo sucesivo. En la subasta electrónica, los lances serán válidos si superan el margen
mínimo de mejora en relación con el precio de arranque si se trata del primer lance, o el último lance válido ocurrido durante la subasta en
lo sucesivo.
"
209,Decreto_734_de_2012,Artículo 3.2.1.1.8.,"Artículo 3.2.1.1.8. Procedimiento de subasta inversa presencial. Antes de iniciar la subasta, a los proponentes se les distribuirán sobres y
formularios para la presentación de sus lances. En dichos formularios se deberá consignar únicamente el precio ofertado por el proponente
o la expresión clara e inequívoca de que no se hará ningún lance de mejora de precios.
La subasta inversa presencial se desarrollará en audiencia pública bajo las siguientes reglas:
a) La entidad abrirá los sobres con las ofertas iniciales de precio y comunicará a los participantes en la audiencia, únicamente, cuál fue la
menor de ellas;
b) La entidad otorgará a los proponentes un término común señalado en los pliegos de condiciones para hacer un lance que mejore la
menor de las ofertas iniciales de precio a que se refiere el literal anterior;
c) Los proponentes harán sus lances utilizando los sobres y los formularios suministrados;
d) Un funcionario de la entidad recogerá los sobres cerrados de todos los participantes;
e) La entidad registrará los lances válidos y los ordenará descendentemente. Con base en este orden, dará a conocer únicamente el menor
precio ofertado;
f) Los proponentes que presentaron un lance no válido no podrán en lo sucesivo seguir presentando lances, y se tomará como su oferta
definitiva al último válido;
g) La entidad repetirá el procedimiento descrito en los anteriores literales, en tantas rondas como sea necesario, hasta que no se reciba
ningún lance que mejore el menor precio ofertado en la ronda anterior;
h) Una vez adjudicado el contrato, la entidad hará público el resultado del certamen incluyendo la identidad de los proponentes.
Parágrafo. Cuando no haya más lances de mejora de precio y exista empate, se adjudicará el contrato al que presentó la menor propuesta
inicial. De persistir el empate, se desempatará por medio de sorteo.
"
210,Decreto_734_de_2012,Artículo 3.2.1.1.9.,"Artículo 3.2.1.1.9. Autenticidad e integridad de los mensajes de datos en el curso de una subasta electrónica. En las subastas inversas
electrónicas se deberá garantizar y otorgar plena seguridad sobre el origen e identidad del emisor del mensaje de datos y sobre su
integridad y contenido, de conformidad con lo dispuesto en la Ley 527 de 1999 y según lo señalado en el pliego de condiciones.
"
376,Decreto_734_de_2012,Artículo 5.4.1.,"Artículo 5.4.1. Campo de aplicación. Las disposiciones del presente Capítulo se aplicarán en la celebración de contratos sobre tecnologías
espaciales entendidos como aquellos cuyo objeto incluya la construcción o la adquisición de artefactos destinados a ser colocados en el
espacio ultraterrestre y/o el lanzamiento de los mismos al espacio ultraterrestre.
"
415,Decreto_734_de_2012,Artículo 6.4.2.,"Artículo 6.4.2. Aplicación de normas generales. En lo no previsto en el presente decreto, se aplicarán las normas sobre procedimientos
administrativos contenidas en el Código Contencioso Administrativo.
"
50,Decreto_2474_de_2008,Artículo 19.,"Artículo 19. Aplicación de la subasta inversa en la contratación de bienes y servicios de características técnicas uniformes y de común
utilización. En las subastas inversas para la adquisición de bienes y servicios de características técnicas uniformes y de común utilización a
que se refiere el inciso 2 del literal a) del numeral 2 del artículo 2 de la Ley 1150 de 2007, se tendrá como único criterio de evaluación el
precio. En caso de que estos bienes o servicios estén sometidos a situaciones de control de precios mínimos, la entidad deberá valorar la
factibilidad de llevar a cabo una subasta inversa, o aplicar la modalidad de selección que corresponda.
Las subastas podrán tener lugar por ítems o por lotes, entendidos estos como un conjunto de bienes agrupados con el fin de ser adquiridos
como un todo, cuya naturaleza individual corresponde a la de aquellos de características técnicas uniformes y de común utilización. El
resultado de la subasta se presentará a consideración del comité a que se refiere el parágrafo 2 del artículo 12 del presente decreto, a
efecto de que el mismo formule la recomendación pertinente a quien corresponda.
Parágrafo. La entidad estatal podrá abstenerse de exigir garantía de seriedad de la oferta, para participar en procesos de subasta inversa
para la adquisición de los bienes y servicios a los que se refiere el presente artículo. Si el proponente, sin justa causa, se abstuviere de
suscribir el contrato adjudicado quedará inhabilitado para contratar con el Estado por un término de cinco (5) años, de conformidad con el
literal e) del numeral 1 del artículo 8 de la Ley 80 de 1993.
"
356,Decreto_734_de_2012,Artículo 5.1.3.,"Artículo 5.1.3. Clases de garantías. En los procesos de contratación los oferentes o contratistas podrán otorgar únicamente, como
mecanismos de cobertura del riesgo, cualquiera de las siguientes garantías:
1. Póliza de seguros.
2. Fiducia mercantil en garantía.
3. Garantía bancaria a primer requerimiento.
4. Endoso en garantía de títulos valores.
5. Depósito de dinero en garantía.
Lo anterior, sin perjuicio de que la responsabilidad extracontractual de la administración derivada de las actuaciones, hechos u omisiones de
sus contratistas o subcontratistas sólo puede ser amparada mediante póliza de seguro.
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=30420.P.2
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=87881.P
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=4532251
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3040
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=256780
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=256787
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=256784
Departamento Administrativo de la Función Pública
Decreto 734 de 2012 42 EVA  Gestor Normativo
El monto, vigencia y amparos o coberturas de las garantías se determinarán teniendo en cuenta el objeto, la naturaleza y las características
de cada contrato, los riesgos que se deban cubrir y las reglas del presente decreto.
En los procesos de contratación, las personas naturales o jurídicas extranjeras sin domicilio o sucursal en Colombia podrán otorgar, como
garantías, cartas de crédito stand by expedidas en el exterior.
"
